esp32_id,ts,temp,hum
,2026-04-27 11:29:03,21.8,57.8
,2026-04-27 11:29:08,21.8,58.0
,2026-04-27 11:29:14,21.8,57.9
,2026-04-27 11:29:20,21.8,57.9
,2026-04-27 11:29:25,21.8,58.0
,2026-04-27 11:29:31,21.8,57.9
,2026-04-27 11:29:36,21.8,57.9
,2026-04-27 11:29:42,21.8,57.9
,2026-04-27 11:29:47,21.8,57.9
,2026-04-27 11:29:53,21.8,58.0
,2026-04-27 11:29:59,21.8,58.0
,2026-04-27 11:30:04,21.7,58.1
,2026-04-27 11:30:10,21.7,58.0
,2026-04-27 11:30:15,21.7,58.0
,2026-04-27 11:30:21,21.7,58.0
,2026-04-27 11:30:26,21.7,58.1
,2026-04-27 11:30:32,21.7,58.1
,2026-04-27 11:30:38,21.7,58.2
,2026-04-27 11:30:43,21.7,58.2
,2026-04-27 11:30:49,21.7,58.3
,2026-04-27 11:30:54,21.7,58.4
,2026-04-27 11:31:00,21.7,58.4
,2026-04-27 11:31:06,21.7,58.4
,2026-04-27 11:31:11,21.7,58.4
,2026-04-27 11:31:17,21.7,58.5
,2026-04-27 11:31:22,21.7,58.5
,2026-04-27 11:31:28,21.7,58.5
,2026-04-27 11:31:34,21.7,58.5
,2026-04-27 11:31:39,21.7,58.5
,2026-04-27 11:31:45,21.7,58.5
,2026-04-27 11:31:50,21.7,58.3
,2026-04-27 11:31:56,21.7,58.4
,2026-04-27 11:32:01,21.7,58.3
,2026-04-27 11:32:07,21.7,58.2
,2026-04-27 11:32:12,21.7,58.3
,2026-04-27 11:32:18,21.7,58.3
,2026-04-27 11:32:24,21.7,58.3
,2026-04-27 11:32:29,21.7,58.4
,2026-04-27 11:32:35,21.7,58.5
,2026-04-27 11:32:40,21.6,58.4
,2026-04-27 11:32:46,21.6,58.4
,2026-04-27 11:32:51,21.6,58.5
,2026-04-27 11:32:57,21.7,58.5
,2026-04-27 11:33:02,21.6,58.6
,2026-04-27 11:33:08,21.6,58.6
,2026-04-27 11:33:13,21.6,58.6
,2026-04-27 11:33:19,21.6,58.6
,2026-04-27 11:33:24,21.6,58.7
,2026-04-27 11:33:29,21.6,58.8
,2026-04-27 11:33:35,21.6,58.7
,2026-04-27 11:33:41,21.6,58.6
,2026-04-27 11:33:46,21.6,58.7
,2026-04-27 11:33:52,21.6,58.7
,2026-04-27 11:33:57,21.6,58.7
,2026-04-27 11:34:03,21.6,58.7
,2026-04-27 11:34:08,21.6,58.7
,2026-04-27 11:34:14,21.6,58.7
,2026-04-27 11:34:19,21.7,58.7
,2026-04-27 11:34:25,21.6,58.7
,2026-04-27 11:34:30,21.6,58.8
,2026-04-27 11:34:36,21.6,58.8
,2026-04-27 11:34:41,21.6,58.8
,2026-04-27 11:34:47,21.6,58.8
,2026-04-27 11:34:52,21.6,58.8
,2026-04-27 11:34:58,21.6,58.8
,2026-04-27 11:35:03,21.6,58.9
,2026-04-27 11:35:09,21.6,58.9
,2026-04-27 11:35:14,21.6,58.9
,2026-04-27 11:35:20,21.6,58.9
,2026-04-27 11:35:25,21.6,59.0
,2026-04-27 11:35:31,21.6,59.0
,2026-04-27 11:35:36,21.6,59.1
,2026-04-27 11:35:42,21.6,59.0
cucina,2026-05-05 11:43:00,23.5,48.9
cucina,2026-05-05 11:43:06,23.5,48.5
cucina,2026-05-05 11:43:12,23.5,48.5
cucina,2026-05-05 11:43:18,23.6,48.5
cucina,2026-05-05 11:43:23,23.6,48.5
cucina,2026-05-05 11:43:29,23.6,48.5
cucina,2026-05-05 11:43:35,23.6,48.4
cucina,2026-05-05 11:43:40,23.6,48.4
cucina,2026-05-05 11:43:46,23.6,48.4
cucina,2026-05-05 11:43:51,23.6,48.4
cucina,2026-05-05 11:43:57,23.6,48.4
cucina,2026-05-05 11:44:02,23.6,48.4
cucina,2026-05-05 11:44:08,23.6,48.4
cucina,2026-05-05 11:44:14,23.6,48.3
cucina,2026-05-05 11:44:20,23.6,48.3
cucina,2026-05-05 11:44:25,23.6,48.3
cucina,2026-05-05 11:44:31,23.6,48.3
cucina,2026-05-05 11:44:36,23.6,48.3
cucina,2026-05-05 11:44:42,23.6,48.2
cucina,2026-05-05 11:44:47,23.6,48.2
cucina,2026-05-05 11:44:53,23.6,48.2
cucina,2026-05-05 11:44:58,23.6,48.3
cucina,2026-05-05 11:45:04,23.6,48.3
cucina,2026-05-05 11:45:10,23.6,48.2
cucina,2026-05-05 11:45:15,23.6,48.2
cucina,2026-05-05 11:45:21,23.6,48.2
cucina,2026-05-05 11:45:27,23.6,48.2
cucina,2026-05-05 11:45:32,23.6,48.1
cucina,2026-05-05 11:45:38,23.6,48.3
cucina,2026-05-05 11:45:43,23.6,48.3
cucina,2026-05-05 11:45:49,23.6,48.4
cucina,2026-05-05 11:45:54,23.6,48.3
cucina,2026-05-05 11:46:00,23.6,48.3
cucina,2026-05-05 11:46:06,23.6,48.2
cucina,2026-05-05 11:46:11,23.6,48.2
cucina,2026-05-05 11:46:17,23.6,48.1
cucina,2026-05-05 11:46:23,23.6,48.1
cucina,2026-05-05 11:46:28,23.6,48.1
cucina,2026-05-05 11:46:34,23.6,48.0
cucina,2026-05-05 11:46:39,23.6,48.0
cucina,2026-05-05 11:46:45,23.6,48.0
cucina,2026-05-05 11:46:51,23.6,48.0
cucina,2026-05-05 11:46:56,23.6,48.1
cucina,2026-05-05 11:47:02,23.6,48.3
cucina,2026-05-05 11:47:07,23.6,48.2
cucina,2026-05-05 11:47:13,23.6,48.1
cucina,2026-05-05 11:47:18,23.6,48.1
cucina,2026-05-05 11:47:24,23.6,48.1
cucina,2026-05-05 11:47:30,23.6,48.1
cucina,2026-05-05 11:47:35,23.6,48.1
cucina,2026-05-05 11:47:41,23.6,48.1
cucina,2026-05-05 11:47:46,23.6,48.1
cucina,2026-05-05 11:47:52,23.6,48.1
cucina,2026-05-05 11:47:57,23.6,48.1
cucina,2026-05-05 11:48:03,23.6,48.1
cucina,2026-05-05 11:48:08,23.6,48.2
cucina,2026-05-05 11:48:14,23.6,48.3
cucina,2026-05-05 11:48:20,23.6,48.3
cucina,2026-05-05 11:48:25,23.6,48.4
cucina,2026-05-05 11:48:31,23.6,48.3
cucina,2026-05-05 11:48:36,23.6,48.2
cucina,2026-05-05 11:48:41,23.6,48.2
cucina,2026-05-05 11:48:47,23.6,48.0
cucina,2026-05-05 11:48:53,23.6,47.9
cucina,2026-05-05 11:48:58,23.7,47.8
cucina,2026-05-05 11:49:04,23.6,47.7
cucina,2026-05-05 11:49:09,23.7,47.7
cucina,2026-05-05 11:49:15,23.6,47.7
cucina,2026-05-05 11:49:20,23.7,47.6
cucina,2026-05-05 11:49:26,23.7,47.5
cucina,2026-05-05 11:49:32,23.7,47.6
cucina,2026-05-05 11:49:37,23.7,47.5
cucina,2026-05-05 11:49:43,23.7,47.6
cucina,2026-05-05 11:49:48,23.7,47.5
cucina,2026-05-05 11:49:54,23.7,47.4
cucina,2026-05-05 11:49:59,23.7,47.3
cucina,2026-05-05 11:50:05,23.7,47.3
cucina,2026-05-05 11:50:10,23.7,47.3
cucina,2026-05-05 11:50:16,23.7,47.2
cucina,2026-05-05 11:50:21,23.7,47.2
cucina,2026-05-05 11:50:27,23.7,47.2
cucina,2026-05-05 11:50:33,23.7,47.2
cucina,2026-05-05 11:50:39,23.7,47.3
cucina,2026-05-05 11:50:44,23.7,47.2
cucina,2026-05-05 11:50:50,23.7,47.1
cucina,2026-05-05 11:50:55,23.7,47.1
cucina,2026-05-05 11:51:01,23.7,47.1
cucina,2026-05-05 11:51:06,23.7,47.0
cucina,2026-05-05 11:51:12,23.7,47.0
cucina,2026-05-05 11:51:17,23.7,47.0
cucina,2026-05-05 11:51:23,23.7,47.0
cucina,2026-05-05 11:51:29,23.7,47.0
cucina,2026-05-05 11:51:35,23.7,47.0
cucina,2026-05-05 11:51:40,23.7,47.1
cucina,2026-05-05 11:51:46,23.7,47.2
cucina,2026-05-05 11:51:52,23.7,47.2
cucina,2026-05-05 11:51:57,23.7,47.3
cucina,2026-05-05 11:52:03,23.7,47.2
cucina,2026-05-05 11:52:09,23.6,47.2
cucina,2026-05-05 11:52:14,23.7,47.3
cucina,2026-05-05 11:52:20,23.7,47.2
cucina,2026-05-05 11:52:25,23.6,47.3
cucina,2026-05-05 11:52:31,23.6,47.3
cucina,2026-05-05 11:52:36,23.7,47.3
cucina,2026-05-05 11:52:42,23.6,47.3
cucina,2026-05-05 11:52:47,23.7,47.3
cucina,2026-05-05 11:52:53,23.7,47.3
cucina,2026-05-05 11:52:59,23.6,47.3
cucina,2026-05-05 11:53:05,23.6,47.4
cucina,2026-05-05 11:53:11,23.7,47.2
cucina,2026-05-05 11:53:16,23.6,47.1
cucina,2026-05-05 11:53:22,23.6,47.1
cucina,2026-05-05 11:53:27,23.6,47.2
cucina,2026-05-05 11:53:33,23.6,47.3
cucina,2026-05-05 11:53:39,23.6,47.3
cucina,2026-05-05 11:53:44,23.6,47.3
cucina,2026-05-05 11:53:50,23.6,47.4
cucina,2026-05-05 11:53:56,23.6,47.3
cucina,2026-05-05 11:54:01,23.6,47.3
cucina,2026-05-05 11:54:07,23.6,47.3
